Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	SM	Recharge	SUZ	SLZ	QSTZ	QSUZ	QSLZ
19811122	3.248	1.690	4.1	0.1	0.02	0.02	0.0	115.0	3.8	22.6	72.9	0.000	2.511	0.737
19811123	2.900	1.780	13.8	-0.1	0.02	0.02	13.8	115.0	0.0	19.4	73.2	0.000	2.160	0.739
19811124	6.906	2.720	14.7	2.7	0.00	0.03	6.4	116.5	20.6	32.9	73.5	2.260	3.904	0.742
19811125	4.401	2.490	0.5	-2.2	0.00	0.02	6.8	116.5	0.0	28.2	73.7	0.469	3.188	0.745
19811126	3.469	2.270	0.0	-5.6	0.00	0.01	6.8	116.5	0.0	24.5	74.0	0.000	2.722	0.747
19811127	3.099	2.220	12.6	-6.7	0.00	0.01	19.4	116.5	0.0	21.1	74.2	0.000	2.350	0.750
19811128	2.949	1.880	1.8	0.6	0.00	0.02	19.2	116.6	1.8	19.8	74.5	0.000	2.197	0.752
19811129	2.819	1.780	0.0	0.6	0.00	0.02	17.3	116.7	1.9	18.6	74.7	0.000	2.064	0.755
19811130	2.515	1.730	8.4	-0.5	0.00	0.02	25.7	116.7	0.0	15.8	75.0	0.000	1.758	0.757
19811201	2.242	1.740	0.9	-1.1	0.00	0.01	26.6	116.7	0.0	13.3	75.2	0.000	1.482	0.760
19811202	1.996	1.730	0.2	-4.2	0.00	0.01	26.9	116.7	0.0	11.1	75.4	0.000	1.234	0.762
19811203	2.469	1.660	1.3	2.4	0.00	0.02	20.9	117.1	6.9	15.3	75.7	0.000	1.704	0.764
19811204	2.242	1.620	0.0	0.1	0.00	0.01	20.4	117.1	0.4	13.3	75.9	0.000	1.475	0.767
19811205	1.996	1.570	0.0	-4.3	0.00	0.01	20.4	117.1	0.0	11.0	76.1	0.000	1.227	0.769
19811206	1.776	1.540	0.0	-11.2	0.00	0.00	20.4	117.1	0.0	9.0	76.4	0.000	1.005	0.771
19811207	1.578	1.500	11.5	-11.0	0.00	0.00	31.9	117.1	0.0	7.2	76.6	0.000	0.804	0.774
19811208	1.400	1.460	5.0	-3.7	0.00	0.01	36.9	117.1	0.0	5.6	76.8	0.000	0.624	0.776
19811209	1.240	1.420	2.9	-5.6	0.00	0.00	39.8	117.1	0.0	4.2	77.0	0.000	0.461	0.778
19811210	1.096	1.350	0.0	-11.2	0.00	0.00	39.8	117.1	0.0	2.8	77.3	0.000	0.315	0.780
19811211	0.966	1.280	2.3	-10.0	0.00	0.00	42.0	117.1	0.0	1.7	77.5	0.000	0.184	0.783
19811212	0.850	1.210	0.3	-8.7	0.00	0.00	42.3	117.1	0.0	0.6	77.7	0.000	0.065	0.785
19811213	0.783	1.140	0.0	-17.2	0.00	0.00	42.3	117.1	0.0	0.0	77.5	0.000	0.000	0.783
